相對營業人名稱,統一編號,聯絡人電子郵件,地址,電話,店號
宅通不動產經紀有限公司,12653960,sophia_cheng@etwarm.com.tw,台北市大同區承德路二段18號,02-55590688,A0018
三井不動產鑑定顧問股份有限公司,22131603,sophia_cheng@etwarm.com.tw,新北市新店區安和路一段15號,02-55590688,A0038
大安地產有限公司,53550593,sophia_cheng@etwarm.com.tw,台北市大安區仁愛路四段392號1樓,02-55590688,A0063
山岳房屋仲介有限公司,84232980,sophia_cheng@etwarm.com.tw,桃園市中壢區環中東路878號,02-55590688,A0072
吉晨房屋仲介有限公司,24358719,sophia_cheng@etwarm.com.tw,新北市新莊區中平路183號,02-55590688,A0077
豐偉房屋仲介有限公司,96906833,sophia_cheng@etwarm.com.tw,桃園市中壢區延平路425號,02-55590688,A0085
川江不動產仲介經紀有限公司,53431788,sophia_cheng@etwarm.com.tw,新北市淡水區中正東路53-8號,02-55590688,A0095
立鼎房屋仲介有限公司,96989720,sophia_cheng@etwarm.com.tw,桃園市桃園區三民路三段549號,02-55590688,A0101
富地不動產仲介經紀有限公司,28004920,sophia_cheng@etwarm.com.tw,台北市文山區木柵路二段115號1樓,02-55590688,A0102
永長不動產仲介經紀股份有限公司,89724773,sophia_cheng@etwarm.com.tw,新北市三峽區復興路30之4號,02-55590688,A0109
祥鈺不動產經紀有限公司,53565239,sophia_cheng@etwarm.com.tw,台北市內湖區內湖路2段51號,02-55590688,A0119
微風不動產經紀有限公司,16772848,sophia_cheng@etwarm.com.tw,台北市中正區濟南路2段45號,02-55590688,A0145
大展事業有限公司,53128245,sophia_cheng@etwarm.com.tw,台北市內湖區金龍路7號,02-55590688,A0156
真誠房屋仲介有限公司,97407526,sophia_cheng@etwarm.com.tw,桃園市平鎮區環南路22號,02-55590688,A0169
富茂不動產仲介經紀有限公司,45892189,sophia_cheng@etwarm.com.tw,台南市永康區小東路577號,02-55590688,A0186
居易不動產仲介經紀有限公司,80060726,sophia_cheng@etwarm.com.tw,基隆市中山區中和路8之3號,02-55590688,A0204
品旺房屋仲介有限公司,16275497,sophia_cheng@etwarm.com.tw,桃園市桃園區中正路939號,02-55590688,A0230
俊美房屋仲介開發有限公司,16357981,sophia_cheng@etwarm.com.tw,台中市大甲區中山路一段937號,02-55590688,A0232
晁廣不動產仲介經紀有限公司,16510818,sophia_cheng@etwarm.com.tw,新北市新店區中央五街34號,02-55590688,A0273
威德房屋仲介有限公司,89442710,sophia_cheng@etwarm.com.tw,台北市中正區南昌路一段75號,02-55590688,A0279
?富不動產經紀有限公司,79951685,sophia_cheng@etwarm.com.tw,台中市清水區中華路243號,02-55590688,A1175
旭?不動產仲介經紀有限公司,24730858,sophia_cheng@etwarm.com.tw,新北市新莊區中原路123號,02-55590688,A1261
