序號,日期,客戶ID,品名,單價,數量,金額,備註,對方統編,銷售額,稅額,含稅金額,名稱,聯絡人,地址,連絡電話,email,載具類別號碼,載具顯碼id,載具隱碼id,發票捐贈對象
A00181051220,2016/12/31,A0018,10512表單收入," 12,400 ",1," 12,400 ",A00181051220,12653960," 11,810 ", 590 ," 12,400 ",宅通不動產經紀有限公司,鄭小姐,台北市大同區承德路二段18號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A00381051220,2016/12/31,A0038,10512表單收入," 6,000 ",1," 6,000 ",A00381051220,22131603," 3,810 ", 285 ," 6,000 ",三井不動產鑑定顧問股份有限公司,鄭小姐,新北市新店區安和路一段15號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A00631051220,2016/12/31,A0063,10512表單收入," 18,750 ",1," 18,750 ",A00631051220,53550593," 15,952 ", 893 ," 18,750 ",大安地產有限公司,鄭小姐,台北市大安區仁愛路四段392號1樓,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A00721051220,2016/12/31,A0072,10512表單收入," 7,500 ",1," 7,500 ",A00721051220,84232980," 7,143 ", 357 ," 7,500 ",山岳房屋仲介有限公司,鄭小姐,桃園市中壢區環中東路878號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A00771051220,2016/12/31,A0077,10512表單收入," 15,700 ",1," 15,700 ",A00771051220,24358719," 14,952 ", 748 ," 15,700 ",吉晨房屋仲介有限公司,鄭小姐,新北市新莊區中平路183號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A00851051220,2016/12/31,A0085,10512表單收入," 4,000 ",1," 4,000 ",A00851051220,96906833," 3,810 ", 190 ," 4,000 ",豐偉房屋仲介有限公司,鄭小姐,桃園市中壢區延平路425號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A00951051220,2016/12/31,A0095,10512表單收入," 7,500 ",1," 7,500 ",A00951051220,53431788," 7,143 ", 357 ," 7,500 ",川江不動產仲介經紀有限公司,鄭小姐,新北市淡水區中正東路53-8號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A01011051220,2016/12/31,A0101,10512表單收入," 12,000 ",1," 12,000 ",A01011051220,96989720," 9,524 ", 571 ," 12,000 ",立鼎房屋仲介有限公司,鄭小姐,桃園市桃園區三民路三段549號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A01021051220,2016/12/31,A0102,10512表單收入," 14,500 ",1," 14,500 ",A01021051220,28004920," 11,905 ", 690 ," 14,500 ",富地不動產仲介經紀有限公司,鄭小姐,台北市文山區木柵路二段115號1樓,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A01091051220,2016/12/31,A0109,10512表單收入," 11,750 ",1," 11,750 ",A01091051220,89724773," 9,286 ", 559 ," 11,750 ",永長不動產仲介經紀股份有限公司,鄭小姐,新北市三峽區復興路30之4號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A01191051220,2016/12/31,A0119,10512表單收入," 9,000 ",1," 9,000 ",A01191051220,53565239," 8,571 ", 429 ," 9,000 ",祥鈺不動產經紀有限公司,鄭小姐,台北市內湖區內湖路2段51號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A01451051220,2016/12/31,A0145,10512表單收入," 4,000 ",1," 4,000 ",A01451051220,16772848," 3,810 ", 190 ," 4,000 ",微風不動產經紀有限公司,鄭小姐,台北市中正區濟南路2段45號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
